molecule_chembl_id,canonical_smiles,bioactivityclass,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL446946,Fc1cc(F)cc(Cn2ccnc2)c1,inactive,194.18400000000003,2.2096,0.0,2.0,4.928117992693875
CHEMBL373588,Fc1ccc(Cn2ccnc2)cc1F,intermediate,194.184,2.2096,0.0,2.0,5.017728766960431
CHEMBL210125,Clc1cc(Cl)cc(Cn2ccnc2)c1,intermediate,227.09400000000002,3.2382000000000017,0.0,2.0,5.476253533188435
CHEMBL379436,Clc1ccc(Cn2ccnc2)cc1Cl,intermediate,227.09400000000002,3.238200000000001,0.0,2.0,5.684029654543083
CHEMBL211276,Brc1cc(Br)cc(Cn2ccnc2)c1,intermediate,315.996,3.456400000000002,0.0,2.0,5.5003129173815966
CHEMBL14192,c1ccc(Cn2ccnc2)cc1,inactive,158.204,1.9313999999999998,0.0,2.0,4.408267761048164
CHEMBL386256,Brc1ccc(CCCn2ccnc2)cc1,intermediate,265.15399999999994,3.2784000000000013,0.0,2.0,5.530177984021837
CHEMBL215320,Brc1ccc(CCn2ccnc2)cc1,inactive,251.12699999999998,2.888300000000001,0.0,2.0,4.513427849481643
CHEMBL213493,Clc1ccc(CCCn2ccnc2)cc1,intermediate,220.70300000000003,3.1693000000000007,0.0,2.0,5.232844133917819
CHEMBL379290,Clc1ccc(CCn2ccnc2)cc1,inactive,206.67600000000004,2.7792000000000003,0.0,2.0,4.3041682271733075
CHEMBL214932,Fc1ccc(CCCn2ccnc2)cc1,inactive,204.24800000000005,2.655000000000001,0.0,2.0,4.55579901113584
CHEMBL215425,Fc1ccc(CCn2ccnc2)cc1,inactive,190.22100000000003,2.2649,0.0,2.0,3.920095532333279
CHEMBL380271,c1ccc(CCCn2ccnc2)cc1,inactive,186.25800000000004,2.5159000000000002,0.0,2.0,4.509339346643864
CHEMBL403475,CCC(c1ccc(-c2ccsc2)cc1)n1ccnc1,active,268.385,4.611000000000004,0.0,3.0,6.250263684430939
CHEMBL254328,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,active,349.51800000000003,5.398600000000005,1.0,2.0,6.657577319177793
CHEMBL273191,CC(c1ccc(-c2ccsc2)cc1)n1ccnc1,active,254.358,4.220900000000003,0.0,3.0,6.170053304058364
CHEMBL539453,Cc1ccc(S(=O)(=O)Oc2ccc(Cn3ccnc3)cc2)cc1,inactive,328.39300000000003,3.0075200000000013,0.0,5.0,4.599289363226768
CHEMBL549919,O=[N+]([O-])c1ccc(S(=O)(=O)Oc2ccc(Cn3ccnc3)cc2)cc1,intermediate,359.363,2.6073000000000004,0.0,7.0,5.162411561764489
CHEMBL560398,O=S(=O)(Oc1ccc(Cn2ccnc2)cc1)c1ccc(F)cc1,inactive,332.356,2.8382000000000014,0.0,5.0,4.797784224198868
CHEMBL549920,O=S(=O)(Oc1ccc(Cn2ccnc2)cc1)c1ccc(Cl)cc1,intermediate,348.81100000000004,3.352500000000002,0.0,5.0,5.164309428507575
CHEMBL190231,O=S(=O)(Oc1ccc(Cn2ccnc2)cc1)c1ccc(Br)cc1,intermediate,393.262,3.4616000000000025,0.0,5.0,5.315154638355588
CHEMBL558136,O=S(=O)(Oc1ccc(Cn2ccnc2)cc1)c1ccc(I)cc1,inactive,440.262,3.303700000000002,0.0,5.0,4.999565922520682
CHEMBL553870,COc1ccc(S(=O)(=O)Oc2ccc(Cn3ccnc3)cc2)cc1,intermediate,344.392,2.707700000000001,0.0,6.0,5.221848749616356
CHEMBL560333,O=S(=O)(Oc1ccc(Cn2ccnc2)cc1)c1ccc(C(F)(F)F)cc1,inactive,382.363,3.717900000000003,0.0,5.0,4.1876883908688765
CHEMBL1222850,CCc1ccc(S(=O)(=O)Oc2ccc(Cn3ccnc3)cc2)cc1,active,342.42,3.2615000000000025,0.0,5.0,7.698970004336019
CHEMBL1222922,CCCc1ccc(S(=O)(=O)Oc2ccc(Cn3ccnc3)cc2)cc1,active,356.447,3.651600000000003,0.0,5.0,7.522878745280337
CHEMBL1222923,CCCCc1ccc(S(=O)(=O)Oc2ccc(Cn3ccnc3)cc2)cc1,active,370.474,4.041700000000003,0.0,5.0,7.3979400086720375
CHEMBL1222924,CCCCCc1ccc(S(=O)(=O)Oc2ccc(Cn3ccnc3)cc2)cc1,active,384.50100000000003,4.4318000000000035,0.0,5.0,6.795880017344075
CHEMBL1222987,O=S(=O)(Oc1ccc(Cn2ccnc2)cc1)c1ccc(-c2ccccc2)cc1,active,390.46400000000006,4.366100000000003,0.0,5.0,8.0
CHEMBL1682893,CNC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,active,323.3960000000001,2.814400000000001,3.0,3.0,8.221848749616356
CHEMBL1682890,CNC(=O)Nc1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,active,338.4110000000001,3.206100000000001,4.0,3.0,7.958607314841775
CHEMBL1682894,CCNC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,active,337.42300000000006,3.204500000000002,3.0,3.0,7.958607314841775
CHEMBL1682896,CC(C)NC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,active,351.4500000000001,3.5930000000000017,3.0,3.0,7.920818753952375
CHEMBL1682899,CNC(=O)c1cc2ccc(C(O)(c3c[nH]cn3)C(C)C)cc2cc1C,active,337.4230000000001,3.1228200000000017,3.0,3.0,7.920818753952375
CHEMBL1682895,CCCNC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,active,351.4500000000001,3.5946000000000025,3.0,3.0,7.886056647693163
CHEMBL1682888,CC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,active,308.38100000000003,3.6574000000000018,2.0,3.0,7.853871964321762
