molecule_chembl_id,canonical_smiles,standard_value,bioactivityclass
CHEMBL1921985,CNC(=O)c1ccc2cc([C@]3(O)CCn4cncc43)ccc2c1,180.0,active
CHEMBL3087962,Cc1noc(C2=CC[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)n1,600.0,active
CHEMBL3264604,COc1cc2ccc(C(O)(c3c[nH]cn3)C(C)C)cc2cc1OC,140.0,active
CHEMBL3264602,COc1cc2ccc(C(O)(c3ccncc3)C(C)C)cc2cc1OC,60.0,active
CHEMBL3264600,COc1cc2ccc(C(O)(c3cnco3)C(C)C)cc2cc1OC,86.0,active
CHEMBL3264597,COc1cc2ccc(C(O)(c3cnn[nH]3)C(C)C)cc2cc1OC,180.0,active
CHEMBL3264599,COc1cc2ccc(C(O)(c3cncs3)C(C)C)cc2cc1OC,290.0,active
CHEMBL3264596,COc1cc2ccc(C(O)(c3cn[nH]c3)C(C)C)cc2cc1OC,430.0,active
CHEMBL3264603,COc1cc2ccc(C(O)(c3ccncn3)C(C)C)cc2cc1OC,440.0,active
CHEMBL3264595,COc1cc2ccc(C(O)(c3cc[nH]n3)C(C)C)cc2cc1OC,1600.0,intermediate
CHEMBL3264601,COc1cc2ccc(C(O)(c3cccnc3)C(C)C)cc2cc1OC,4200.0,intermediate
CHEMBL3264598,COc1cc2ccc(C(O)(c3nc[nH]n3)C(C)C)cc2cc1OC,7100.0,intermediate
CHEMBL3677955,O=C1N(c2ccnc(C(F)(F)F)c2)[C@H]2C[C@H]2N1c1cnccc1C1CC1,3.0,active
CHEMBL3639767,O=C1N(c2ccnc(Cl)c2)CCN1c1cnccc1C1CC1,2.7,active
CHEMBL3677931,COc1cc(N2CCN(c3cnccc3C3CC3)C2=O)ccn1,4.6,active
CHEMBL3677924,O=C1N(c2ccnc(C(F)(F)F)c2)CCN1c1cnccc1C1CC1,1.1,active
CHEMBL3912227,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1n[nH]cc1C=O,66.0,active
CHEMBL3966872,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1n[nH]cc1CO,26.0,active
CHEMBL3947033,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1n[nH]cc1C#N,92.0,active
CHEMBL4090236,Fc1ccc2sc3c(c2c1)CCN(Cc1cncc2ccccc12)C3,389.8,active
CHEMBL4068802,Fc1ccc2sc3c(c2c1)CCN(Cc1c[nH]cn1)C3,29.8,active
